	insetivoro	herbivoro	detritivoro	parasita	piscivoro	omnivoro	aloctone	autoctone	nectonico	bentonico	compression_index	relative_height	eye_position	mouth_position	relative_head_length	relative_peduncle_length	compression_peduncle	pectoral_position	pectoral_area	ventral_area	dorsal_area	caudal_area	biomass	eye_size	Fonte dos dados Morfolgicos	Fonte de dados habitat
Gymnogeophagus.mekinos	2	0	1	0	0	0	0	1	1	1	2.006323234	0.373022691	0.718952651	0.159921602	0.352524864	0.186190092	2.564567735	0.377347074	2.47280862	1.666904661	3.686166132	4.376264531	9.6403	0.32014766	"Dala-Corte, 2016"	"Selmo, 2010; Luz agostinho et al"
Gymnogeophagus.meridionalis	2	0	1	0	0	0	0	1	1	1	2.240239851	0.436750172	0.668940326	0.219883634	0.358101721	0.136106215	3.360469263	0.379519371	2.369090825	1.77649954	3.695805598	3.248595163	5.831375	0.299887326	"Dala-Corte, 2016"	"Pelo gnero, no h publicaes sobre a dieta da espcie; Bonatto, 2016"
Gymnogeophagus.pseudolabiatus	2	0	1	0	0	0	0	1	1	1	2.063936877	0.367288166	0.783845961	0.231627199	0.355165633	0.178277194	2.326751165	0.381951781	2.0097473	1.417238849	3.074603647	3.305189202	3.8745	0.323395192	"Dala-Corte, 2016"	"Pelo gnero, no h publicaes sobre a dieta da espcie; Bonatto, 2016"
Gymnogeophagus.rhabdotus	3	0	0	0	0	0	0	1	1	1	2.254460335	0.428957979	0.725492359	0.250152492	0.363905756	0.135943293	3.369553535	0.382990091	1.972698038	1.469793131	2.4535302	3.097498117	6.9494	0.280436679	"Dala-Corte, 2016"	"Pelo gnero, no h publicaes sobre a dieta da espcie; Bonatto, 2016"
Gymnogeophagus.spn	2	0	1	0	0	0	0	1	1	1	2.006323234	0.373022691	0.718952651	0.159921602	0.352524864	0.186190092	2.564567735	0.377347074	2.47280862	1.666904661	3.686166132	4.376264531	9.6403	0.32014766	"Dala-Corte, 2016 (Utilizamos de G. mekinos)"	Yafe et al 2002
Gymnogeophagus.terrapurpura	2	0	1	0	0	0	0	1	1	1	2.254460335	0.428957979	0.725492359	0.250152492	0.363905756	0.135943293	3.369553535	0.382990091	1.972698038	1.469793131	2.4535302	3.097498117	6.9494	0.280436679	"Dala-Corte, 2016 (segundo Loureiro et al 2011,  d grupo G rhabdotus)"	"Pelo gnero, no h publicaes sobre a dieta da espcie; Bonatto, 2016"
Gymnotus.carapo	3	0	0	0	0	0	1	1	1	0	1.593850845	0.12851869	0.70865905	0.542904471	0.127677777	0	0	0.435523313	0.235416429	0	0	0	11.3086	0.060261008	"Dala-Corte, 2016"	"Pelo gnero, no h publicaes sobre a dieta da espcie; Bonatto, 2016"
Gymnotus.cuia	3	0	0	0	0	0	1	1	1	0	1.593850845	0.12851869	0.70865905	0.542904471	0.127677777	0	0	0.435523313	0.235416429	0	0	0	11.3086	0.060261008	"Dala-Corte, 2016 (Utilizamos G. carapo)"	Lopes et al 2016
Hemiancistrus.chlorostictus	0	1	2	0	0	0	0	1	0	1	0.56689143	0.180474307	0.818975339	0	0.279591684	0.319276109	1.915034858	0.182225061	4.221775462	2.26716732	4.85989516	3.939047246	20.41457143	0.200866737	"Dala-Corte, 2016 (segundo Armbruster et al 2015,  do grupo do H. fuliginosus)"	Lopes et al 2016
Hemiancistrus.fuliginosus	0	1	2	0	0	0	0	1	0	1	0.56689143	0.180474307	0.818975339	0	0.279591684	0.319276109	1.915034858	0.182225061	4.221775462	2.26716732	4.85989516	3.939047246	20.41457143	0.200866737	"Dala-Corte, 2016"	"Pelo gnero, no h publicaes sobre a dieta da espcie"
Hemiancistrus.punctulatus	0	1	2	0	0	0	0	1	0	1	0.682906333	0.218489058	0.711332174	0	0.300841484	0.318753419	1.599091585	0.167358221	1.863125232	1.398926148	3.467725248	2.718950522	2.562	0.17604576	"Dala-Corte, 2016"	"Pelo gnero, no h publicaes sobre a dieta da espcie"
Heptapterus.exilis	3	0	0	0	0	0	0	1	0	1	0.878159796	0.113573841	0.788049731	0.234424519	0.171637892	0.192650474	4.489788134	0.32677332	0.486716035	0.557410991	0.973732142	1.203793167	8.3299	0.179475551	"Dala-Corte, 2016 (nico trabalho  a descrio Faustino-Fuster et al  2018.  closely related to H. mustelinus)"	"Langoni, 2015; Luz-Agostinho et al "
Heptapterus.mustelinus	3	0	0	0	0	0	0	1	0	1	0.878159796	0.113573841	0.788049731	0.234424519	0.171637892	0.192650474	4.489788134	0.32677332	0.486716035	0.557410991	0.973732142	1.203793167	8.3299	0.179475551	"Dala-Corte, 2016"	"Pelo gnero, no h publicaes sobre a dieta da espcie"
Heptapterus.sympterygium	3	0	0	0	0	0	0	1	0	1	0.89055794	0.131787869	0.763380282	0.323943662	0.220704986	0.387424579	6.357142857	0.243373494	0.159180692	0.207116545	0.375662115	0.356227374	0.168	0.10647482	"Dala-Corte, 2016"	Gonzalez-Bergonzoni et al. 2016; Albrecht 2012
Heterocheirodon.yatai	2	1	0	0	0	0	0	1	1	1	2.603497083	0.300893548	0.634618278	0.49374358	0.226391449	0.175006439	3.565637003	0.132729329	0.087243224	0.293406883	0.855722888	2.143837027	0.632	0.400529899	"Dala-Corte, 2016"	"Pelo gnero, no h publicaes sobre a dieta da espcie"
Hisonotus.armatus	0	2	1	0	0	0	0	1	0	1	0.808432116	0.175874508	0.685759605	0	0.251883257	0.332065782	1.631940374	0.174772445	1.072010051	0.680313837	1.084837699	1.825111683	1.02125	0.207910265	"Dala-Corte, 2016"	"Hirano & Azevedo, 2007"
Hisonotus.charrua	0	2	1	0	0	0	0	1	0	1	0.762271032	0.164461644	0.642578325	0	0.266782105	0.32989405	1.637710735	0.24106808	0.803700255	0.450123739	0.70727977	1.667109449	0.6581	0.194168961	"Dala-Corte, 2016"	"Pelo gnero, no h publicaes sobre a dieta da espcie, Casatti 2002, Motta & Uieda 2005; Luz agostinho"
Hisonotus.laevior	0	2	1	0	0	0	0	1	0	1	0.744726377	0.154693618	0.708223551	0	0.238126901	0.342367277	1.872423592	0.22187877	0.888014249	0.512753225	0.888107385	1.849549756	0.951	0.201528152	"Dala-Corte, 2016"	"Pelo gnero, no h publicaes sobre a dieta da espcie, Casatti 2002, Motta & Uieda 2005"
Hisonotus.notopagos	0	2	1	0	0	0	0	1	0	1	0.802232038	0.171967486	0.752417303	0	0.252646434	0.358153752	1.939697039	0.16595681	1.012060743	0.584628718	0.976148521	1.885326598	0.6906	0.184349208	"Dala-Corte, 2016"	"Pelo gnero, no h publicaes sobre a dieta da espcie, Casatti 2002, Motta & Uieda 2005"
Hisonotus.ringueleti	0	2	1	0	0	0	0	1	0	1	0.84946202	0.174480923	0.708929852	0	0.245784048	0.329086944	2.083942588	0.20254917	1.252053029	0.570371748	1.10795007	2.596535495	1.681285714	0.211377224	"Dala-Corte, 2016"	"Pelo gnero, no h publicaes sobre a dieta da espcie, Casatti 2002, Motta & Uieda 2005"
Homodiaetus.anisitsi	0	0	0	3	0	0	0	1	0	1	0.910791367	0.126498801	0.864048338	0	0.123501199	0.260791367	4.142857143	0.306477093	0.464568345	0.196522782	0.428189448	0.302565947	0.52	0.286407767	"Dala-Corte, 2016"	"Pelo gnero, no h publicaes sobre a dieta da espcie, Casatti 2002, Motta & Uieda 2005; Motta & Uieda 2008"
Hoplias.aff.malabaricus	0	0	0	0	3	0	0	1	1	1	1.425776437	0.237936686	0.610025175	0.472593146	0.332704252	0.133157705	2.93177322	0.182141254	1.035724005	1.270882134	2.798271437	4.018872679	20.643	0.188195748	"Dala-Corte, 2016 (Utilizamos H. malabaricus)"	"Pinna & Wosiacki, 2003"
Hoplias.lacerdae	0	0	0	0	3	0	0	1	1	1	1.425776437	0.237936686	0.610025175	0.472593146	0.332704252	0.133157705	2.93177322	0.182141254	1.035724005	1.270882134	2.798271437	4.018872679	20.643	0.188195748	"Dala-Corte, 2017"	
Hyphessobrycon.anisitsi	0	2	0	0	0	1	0	1	1	0	2.491603294	0.33644978	0.605944377	0.590478595	0.274452271	0.086768066	2.43292517	0.164106429	0.429169078	0.270915957	1.263596216	2.048897915	0.778	0.378005291	"Dala-Corte, 2016"	"Pelo gnero, no h publicaes sobre a dieta da espcie"
Hyphessobrycon.luetkenii	0	2	0	0	0	1	0	1	1	0	2.741767916	0.383719299	0.602580001	0.546628958	0.262690621	0.101772236	2.559429266	0.176468899	0.598290523	0.446396724	1.474912359	2.732876655	2.124	0.374412746	"Dala-Corte, 2016"	"Gonzalez-Bergonzoni et al. 2016; ; OLIVEIRA; BENNEMANN, 2005; ROCHA et al., 2009a"
Hyphessobrycon.meridionalis	0	2	0	0	0	1	0	1	1	0	2.936361376	0.386031075	0.618989708	0.602485098	0.256407341	0.107059305	3.19459572	0.204144578	0.386174496	0.239382598	1.144114631	2.327254952	1.08	0.396927842	"Dala-Corte, 2016"	"Coelho, 2004, luz-agostinho; Gonzalez-Bergonzoni et al. 2016; "
Hyphessobrycon.togoi	0	2	0	0	0	1	0	1	1	0	2.869738989	0.370887781	0.491748693	0.469856307	0.217762751	0.111565172	3.403888377	0.172227141	0.799424602	1.172958988	1.734440999	4.643192067	4.3688	0.336002171	"Dala-Corte, 2016"	Gonzalez-Bergonzoni et al. 2016; 
Hypobrycon.sp	3	0	0	0	0	0	0	1	1	1	2.163312041	0.292997402	0.620070062	0.284516886	0.248555225	0.148645229	2.698355767	0.231662264	0.271395202	0.433754889	1.389132695	2.326010995	1.93275	0.333837857	"Dala-Corte, 2016"	"Pelo gnero, no h publicaes sobre a dieta da espcie,"
Hypostomus.aspilogaster	0	0	3	0	0	0	0	1	0	1	0.711086727	0.207410104	0.784822996	0	0.266056105	0.307567341	1.410240252	0.124047397	2.446058265	1.729221087	4.092596689	3.414904568	4.2392	0.195868754	"Dala-Corte, 2016"	Bonatto et al. 2017
Hypostomus.commersonii	0	0	3	0	0	0	0	1	0	1	0.649931355	0.178620142	0.813085798	0	0.297140842	0.305180503	1.624953947	0.168167399	1.117053697	0.704621407	1.849167415	1.968925796	0.715	0.219588182	"Dala-Corte, 2016"	Luz-Agostinho et al
Hypostomus.uruguayensis	0	0	3	0	0	0	0	1	0	1	0.741865378	0.205733536	0.781160905	0	0.323446009	0.35673841	1.079885852	0.173659148	1.62287345	0.859220188	2.05260455	2.381242285	2.035	0.199376637	"Dala-Corte, 2016"	"Pelo gnero, no h publicaes sobre a dieta da espcie,"
